doc_id	log_emn	log_qmn	log_pmn	log_elmn
1	0.0	2.4849066497880004	5.313205979041787	1.3862943611198906
2	0.0	1.6094379124341003	3.5553480614894135	0.0
3	4.060443010546419	5.170483995038151	7.91862865334224	4.465908118654584
4	1.6094379124341003	4.770684624465665	7.841885928984623	2.0794415416798357
5	3.367295829986474	2.302585092994046	5.908082938168931	3.1354942159291497
6	1.6094379124341003	2.772588722239781	1.9459101490553132	0.0
7	3.970291913552122	4.499809670330265	6.6293632534374485	2.8903717578961645
8	5.278114659230517	3.871201010907891	6.338594078203183	3.367295829986474
9	0.6931471805599453	0.0	3.4965075614664802	1.791759469228055
10	3.044522437723423	0.6931471805599453	4.356708826689592	0.6931471805599453
11	1.3862943611198906	0.6931471805599453	3.8066624897703196	0.0
12	7.89655270164304	6.983789965258135	8.900276348631271	7.616283561580385
13	0.0	2.5649493574615367	4.290459441148391	1.0986122886681098
14	1.6094379124341003	1.791759469228055	3.4657359027997265	0.6931471805599453
15	1.6094379124341003	3.7376696182833684	4.672828834461906	1.791759469228055
16	2.302585092994046	5.099866427824199	8.247743887225516	2.0794415416798357
17	0.0	1.0986122886681098	4.219507705176107	0.6931471805599453
18	2.70805020110221	3.7376696182833684	5.4638318050256105	2.302585092994046
19	4.406719247264253	4.804021044733257	6.234410725718371	4.477336814478207
20	0.6931471805599453	0.0	4.465908118654584	0.0
21	1.0986122886681098	1.9459101490553132	3.091042453358316	1.0986122886681098
22	1.3862943611198906	0.0	4.356708826689592	0.6931471805599453
23	2.302585092994046	0.0	4.700480365792417	2.995732273553991
24	1.0986122886681098	0.0	4.330733340286331	1.791759469228055
25	2.1972245773362196	4.0943445622221	6.556778356158042	3.1780538303479458
26	1.6094379124341003	3.1354942159291497	3.8066624897703196	1.0986122886681098
27	0.0	1.0986122886681098	3.4339872044851463	0.0
28	0.0	0.6931471805599453	2.3978952727983707	0.0
29	1.0986122886681098	0.0	3.8918202981106265	0.0
30	0.0	0.0	3.6635616461296463	0.0
31	2.0794415416798357	1.6094379124341003	2.772588722239781	1.9459101490553132
32	2.0794415416798357	2.4849066497880004	8.505727713306959	1.0986122886681098
33	3.5553480614894135	4.61512051684126	7.6487397889562425	0.6931471805599453
34	1.3862943611198906	0.6931471805599453	3.091042453358316	0.0
35	0.0	2.5649493574615367	4.382026634673881	0.0
36	4.02535169073515	4.110873864173311	5.820082930352362	3.4011973816621555
37	0.6931471805599453	2.0794415416798357	4.04305126783455	0.0
38	3.295836866004329	0.6931471805599453	4.127134385045092	0.0
39	0.6931471805599453	2.302585092994046	4.127134385045092	2.6390573296152584
40	1.6094379124341003	2.1972245773362196	5.808142489980444	0.0
41	1.0986122886681098	1.791759469228055	3.6635616461296463	1.3862943611198906
42	0.6931471805599453	0.6931471805599453	4.663439094112067	0.0
43	0.6931471805599453	0.0	5.631211781821365	0.0
44	0.0	0.0	4.90527477843843	0.0
45	0.0	0.6931471805599453	2.995732273553991	1.0986122886681098
46	0.6931471805599453	2.3978952727983707	4.07753744390572	1.6094379124341003
47	4.343805421853684	2.302585092994046	6.439350371100098	3.1354942159291497
48	1.0986122886681098	1.0986122886681098	3.4965075614664802	0.6931471805599453
49	1.6094379124341003	0.6931471805599453	2.1972245773362196	0.0
50	2.0794415416798357	0.6931471805599453	5.389071729816501	0.0
51	0.0	0.0	0.0	0.0
52	2.0794415416798357	3.258096538021482	4.941642422609304	2.1972245773362196
53	8.159374736775426	7.042286171939743	9.307920700315046	8.55429627936774
54	2.995732273553991	3.8066624897703196	6.587550014824796	1.9459101490553132
55	3.332204510175204	1.9459101490553132	4.584967478670572	0.0
56	2.3978952727983707	1.9459101490553132	4.584967478670572	1.9459101490553132
57	3.4965075614664802	3.970291913552122	6.363028103540465	1.9459101490553132
